id_registro,edad,ingresos_mensuales,monto_credito,historial_crediticio,plazo_meses,cuota_mensual,tipo_empleo,numero_dependientes,antiguedad_laboral_meses,atrasos_previos,ratio_deuda_ingreso,presion_financiera,capacidad_pago,nivel_crediticio,puntaje_riesgo_financiero,moroso,norm_edad,norm_ingresos_mensuales,norm_monto_credito,norm_historial_crediticio,norm_plazo_meses,norm_cuota_mensual,norm_numero_dependientes,norm_antiguedad_laboral_meses,norm_atrasos_previos,norm_ratio_deuda_ingreso,norm_presion_financiera,norm_capacidad_pago,norm_puntaje_riesgo_financiero
652,21,4223.31,15894.4,739.0,36,449.93,Dependiente,3,40,1,0.1065,0.1045,2723.38,Bueno,-3.22,0,0.0588,0.5312,0.6136,0.8055,0.7143,0.16,0.6,0.2102,0.25,0.0617,0.0387,0.5216,0.0683
653,61,1512.52,16694.19,822.0,12,558.55,Dependiente,2,105,1,0.3693,0.9198,253.97,Excelente,83.88,1,0.8431,0.0473,0.6519,0.9596,0.1429,0.2585,0.4,0.5795,0.25,0.3091,0.3821,0.2089,0.3964
654,25,3324.94,7644.64,733.0,18,569.09,Independiente,5,156,0,0.1712,0.1277,1005.85,Bueno,-4.58,0,0.1373,0.3708,0.2186,0.7944,0.2857,0.268,1.0,0.8693,0.0,0.1226,0.0485,0.3041,0.0631
655,39,4730.62,10052.18,349.0,36,548.28,Independiente,0,39,1,0.1159,0.059,4182.34,Bajo,9.7,0,0.4118,0.6218,0.3339,0.0817,0.7143,0.2492,0.0,0.2045,0.25,0.0705,0.0196,0.7062,0.117
656,23,1610.23,9417.98,639.0,12,484.53,Informal,1,28,0,0.3009,0.4874,775.7,Medio,43.06,1,0.098,0.0647,0.3035,0.6199,0.1429,0.1914,0.2,0.142,0.0,0.2447,0.2,0.275,0.2426
657,30,2969.1,3684.63,633.0,12,1045.91,Informal,4,74,2,0.3523,0.1034,523.19,Medio,32.95,1,0.2353,0.3073,0.0289,0.6088,0.1429,0.7004,0.8,0.4034,0.5,0.2931,0.0383,0.243,0.2046
658,56,3026.7,7269.31,838.0,6,417.64,Independiente,2,125,0,0.138,0.4003,1909.06,Excelente,10.22,0,0.7451,0.3176,0.2006,0.9893,0.0,0.1307,0.4,0.6932,0.0,0.0913,0.1633,0.4185,0.1189
659,32,2237.74,7390.68,534.0,24,337.16,Independiente,2,144,0,0.1507,0.1376,1200.58,Bajo,2.32,0,0.2745,0.1767,0.2064,0.425,0.4286,0.0577,0.4,0.8011,0.0,0.1033,0.0527,0.3288,0.0891
660,18,2199.04,6779.12,369.0,18,537.24,Independiente,2,12,1,0.2443,0.1713,961.8,Bajo,31.17,0,0.0,0.1698,0.1771,0.1188,0.2857,0.2392,0.4,0.0511,0.25,0.1914,0.0669,0.2986,0.1978
661,46,2689.28,8304.69,530.0,48,764.81,Dependiente,1,59,1,0.2844,0.0643,1574.47,Bajo,19.4,0,0.549,0.2573,0.2502,0.4176,1.0,0.4455,0.2,0.3182,0.25,0.2292,0.0218,0.3761,0.1535
662,46,1336.09,12276.45,320.0,6,1099.44,Independiente,3,30,2,0.8229,1.5314,-813.35,Bajo,207.5,1,0.549,0.0158,0.4404,0.0278,0.0,0.749,0.6,0.1534,0.5,0.7363,0.6397,0.0738,0.8622
663,45,3346.52,8711.78,671.0,36,577.72,Dependiente,1,166,0,0.1726,0.0723,2418.8,Bueno,-6.56,0,0.5294,0.3747,0.2697,0.6793,0.7143,0.2759,0.2,0.9261,0.0,0.1239,0.0252,0.483,0.0557
664,69,2437.26,16603.11,695.0,24,447.02,Independiente,2,25,0,0.1834,0.2838,1290.24,Bueno,12.83,0,1.0,0.2123,0.6476,0.7239,0.4286,0.1574,0.4,0.125,0.0,0.1341,0.1143,0.3401,0.1287
665,30,5139.68,9820.57,705.0,18,682.44,Dependiente,1,7,0,0.1328,0.1062,4107.24,Bueno,-6.54,0,0.2353,0.6948,0.3228,0.7424,0.2857,0.3708,0.2,0.0227,0.0,0.0864,0.0395,0.6967,0.0558
666,55,3840.6,7149.61,355.0,18,544.0,Dependiente,1,171,1,0.1416,0.1034,2946.6,Bajo,13.38,0,0.7255,0.4629,0.1949,0.0928,0.2857,0.2453,0.2,0.9545,0.25,0.0947,0.0383,0.5498,0.1308
667,25,4309.82,8361.42,311.0,36,784.9,Dependiente,2,21,0,0.1821,0.0539,2824.92,Bajo,9.73,0,0.1373,0.5466,0.2529,0.0111,0.7143,0.4637,0.4,0.1023,0.0,0.1329,0.0174,0.5344,0.1171
668,55,2885.12,10235.23,417.0,48,609.9,Independiente,0,92,0,0.2114,0.0739,2275.22,Bajo,8.84,0,0.7255,0.2923,0.3426,0.2079,1.0,0.3051,0.0,0.5057,0.0,0.1605,0.0259,0.4648,0.1137
669,37,2724.82,7736.99,711.0,18,1172.64,Informal,1,173,1,0.4304,0.1577,1202.18,Bueno,32.33,0,0.3725,0.2637,0.223,0.7536,0.2857,0.8153,0.2,0.9659,0.25,0.3667,0.0612,0.329,0.2022
670,53,2786.82,10744.92,552.0,24,719.75,Dependiente,1,107,2,0.2583,0.1607,1717.07,Bajo,30.82,0,0.6863,0.2748,0.367,0.4584,0.4286,0.4047,0.2,0.5909,0.5,0.2046,0.0624,0.3942,0.1965
671,60,1280.34,10165.51,812.0,6,572.28,Informal,3,118,0,0.447,1.3233,-341.94,Excelente,116.12,1,0.8235,0.0058,0.3393,0.941,0.0,0.2709,0.6,0.6534,0.0,0.3823,0.5521,0.1335,0.5179
672,25,1813.31,8272.89,785.0,6,530.9,Independiente,3,116,4,0.2928,0.7604,232.41,Excelente,88.78,1,0.1373,0.101,0.2487,0.8909,0.0,0.2334,0.6,0.642,1.0,0.2371,0.315,0.2062,0.4149
673,59,3454.86,5610.13,657.0,24,1337.03,Independiente,3,9,1,0.387,0.0677,1067.83,Medio,25.69,0,0.8039,0.394,0.1211,0.6533,0.4286,0.9644,0.6,0.0341,0.25,0.3258,0.0232,0.312,0.1772
674,37,2563.98,16343.52,507.0,36,701.77,Dependiente,2,22,3,0.2737,0.1771,1162.21,Bajo,44.89,1,0.3725,0.235,0.6351,0.3749,0.7143,0.3884,0.4,0.108,0.75,0.2191,0.0693,0.3239,0.2495
675,42,4633.16,14515.98,430.0,36,801.5,Informal,3,99,3,0.173,0.087,2781.66,Bajo,29.41,0,0.4706,0.6044,0.5476,0.232,0.7143,0.4788,0.6,0.5455,0.75,0.1243,0.0314,0.5289,0.1912
676,45,4815.89,10123.88,843.7799999999997,24,403.29,Dependiente,1,149,0,0.0837,0.0876,4062.6,Excelente,-20.86,0,0.5294,0.637,0.3373,1.0,0.4286,0.1177,0.2,0.8295,0.0,0.0402,0.0316,0.6911,0.0018
677,67,4343.48,7391.48,780.0,18,844.06,Informal,3,112,0,0.1943,0.0945,2449.42,Excelente,-6.08,0,0.9608,0.5526,0.2065,0.8816,0.2857,0.5174,0.6,0.6193,0.0,0.1444,0.0345,0.4869,0.0575
678,69,1855.07,7724.9,664.0,24,823.21,Independiente,3,61,1,0.4438,0.1735,-18.14,Medio,38.68,1,1.0,0.1084,0.2224,0.6663,0.4286,0.4985,0.6,0.3295,0.25,0.3793,0.0678,0.1745,0.2261
679,25,2850.9,6487.07,736.0,24,544.41,Dependiente,5,53,0,0.191,0.0948,556.49,Bueno,-3.64,0,0.1373,0.2862,0.1631,0.8,0.4286,0.2457,1.0,0.2841,0.0,0.1412,0.0347,0.2472,0.0667
680,43,3601.1,4978.02,799.0,18,1018.09,Dependiente,4,17,2,0.2827,0.0768,1183.01,Excelente,18.17,0,0.4902,0.4201,0.0909,0.9169,0.2857,0.6752,0.8,0.0795,0.5,0.2276,0.0271,0.3266,0.1489
681,49,3143.44,7869.59,652.0,36,563.51,Independiente,1,93,3,0.1793,0.0695,2229.93,Medio,19.86,0,0.6078,0.3384,0.2293,0.644,0.7143,0.263,0.2,0.5114,0.75,0.1302,0.024,0.4591,0.1552
682,67,1433.5,13372.76,689.0,6,471.93,Independiente,2,90,1,0.3292,1.5548,261.57,Bueno,136.24,1,0.9608,0.0332,0.4929,0.7127,0.0,0.1799,0.4,0.4943,0.25,0.2714,0.6496,0.2099,0.5937
683,68,2397.35,6335.9,597.0,36,877.63,Independiente,2,132,3,0.3661,0.0734,819.72,Medio,40.4,1,0.9804,0.2052,0.1559,0.542,0.7143,0.5478,0.4,0.733,0.75,0.3061,0.0256,0.2806,0.2326
684,44,4737.26,4439.9,725.0,24,381.11,Independiente,0,122,1,0.0804,0.0391,4356.15,Bueno,-11.87,0,0.5098,0.6229,0.0651,0.7795,0.4286,0.0976,0.0,0.6761,0.25,0.0371,0.0112,0.7282,0.0357
685,19,2511.73,20846.4,488.0,18,572.68,Dependiente,1,131,1,0.228,0.4611,1589.05,Bajo,45.98,1,0.0196,0.2256,0.8508,0.3397,0.2857,0.2713,0.2,0.7273,0.25,0.1761,0.1889,0.378,0.2536
686,65,2288.65,22321.07,563.0,24,734.79,Dependiente,2,58,4,0.3211,0.4064,853.86,Bajo,73.14,1,0.9216,0.1858,0.9214,0.4789,0.4286,0.4183,0.4,0.3125,1.0,0.2637,0.1659,0.2849,0.356
687,54,2321.16,9169.77,483.0,12,617.93,Independiente,2,175,2,0.2662,0.3292,1003.23,Bajo,46.72,1,0.7059,0.1916,0.2916,0.3304,0.1429,0.3123,0.4,0.9773,0.5,0.2121,0.1334,0.3038,0.2564
688,63,4462.56,7710.21,452.0,36,895.16,Independiente,3,21,1,0.2006,0.048,2517.4,Bajo,13.47,0,0.8824,0.5739,0.2217,0.2728,0.7143,0.5637,0.6,0.1023,0.25,0.1503,0.015,0.4955,0.1312
689,62,4526.96,13120.14,643.0,48,601.33,Dependiente,1,65,3,0.1328,0.0604,3575.63,Medio,15.31,0,0.8627,0.5854,0.4808,0.6273,1.0,0.2973,0.2,0.3523,0.75,0.0864,0.0202,0.6294,0.1381
690,52,2821.6,9710.97,425.0,12,647.51,Independiente,3,145,0,0.2295,0.2868,1124.09,Bajo,26.48,1,0.6667,0.281,0.3175,0.2227,0.1429,0.3392,0.6,0.8068,0.0,0.1775,0.1155,0.3191,0.1802
691,41,5395.73,7229.47,626.0,18,469.32,Dependiente,2,13,3,0.087,0.0744,4226.41,Medio,13.4,0,0.451,0.7405,0.1987,0.5958,0.2857,0.1776,0.4,0.0568,0.75,0.0433,0.0261,0.7118,0.1309
692,30,2092.14,4274.34,665.0,36,921.62,Dependiente,0,34,1,0.4405,0.0568,1170.52,Medio,29.43,0,0.2353,0.1507,0.0572,0.6682,0.7143,0.5877,0.0,0.1761,0.25,0.3762,0.0187,0.325,0.1913
693,19,2835.04,8922.88,547.0,12,361.23,Dependiente,2,123,2,0.1274,0.2623,1773.81,Bajo,25.79,0,0.0196,0.2834,0.2798,0.4492,0.1429,0.0796,0.4,0.6818,0.5,0.0814,0.1052,0.4013,0.1776
694,43,2142.35,7919.76,690.0,24,434.23,Dependiente,1,75,3,0.2027,0.154,1358.12,Bueno,27.74,0,0.4902,0.1597,0.2317,0.7146,0.4286,0.1458,0.2,0.4091,0.75,0.1523,0.0596,0.3487,0.1849
695,63,2177.96,9006.49,826.0,24,577.71,Dependiente,0,169,2,0.2653,0.1723,1600.25,Excelente,20.46,0,0.8824,0.1661,0.2838,0.967,0.4286,0.2759,0.0,0.9432,0.5,0.2112,0.0673,0.3794,0.1575
696,50,3882.17,15281.71,331.0,24,421.23,Dependiente,0,39,0,0.1085,0.164,3460.94,Bajo,10.08,0,0.6275,0.4703,0.5843,0.0483,0.4286,0.134,0.0,0.2045,0.0,0.0636,0.0638,0.6149,0.1184
697,23,2321.69,12536.7,680.0,12,444.71,Dependiente,0,84,1,0.1915,0.45,1876.98,Bueno,34.55,0,0.098,0.1917,0.4528,0.696,0.1429,0.1553,0.0,0.4602,0.25,0.1417,0.1843,0.4144,0.2106
698,63,2864.35,18157.23,305.0,12,628.03,Dependiente,1,179,0,0.2193,0.5283,1886.32,Bajo,49.01,1,0.8824,0.2886,0.722,0.0,0.1429,0.3215,0.2,1.0,0.0,0.1679,0.2172,0.4156,0.2651
699,28,3261.35,5117.71,815.0,18,275.06,Independiente,0,55,0,0.0843,0.0872,2986.29,Excelente,-18.11,0,0.1961,0.3595,0.0976,0.9466,0.2857,0.0014,0.0,0.2955,0.0,0.0408,0.0315,0.5548,0.0122
700,49,3092.5,3385.06,653.0,24,280.23,Dependiente,1,78,0,0.0906,0.0456,2462.27,Medio,-14.71,0,0.6078,0.3293,0.0146,0.6459,0.4286,0.0061,0.2,0.4261,0.0,0.0467,0.0139,0.4885,0.025
701,31,2484.19,8151.91,756.0,6,605.86,Dependiente,3,177,2,0.2439,0.5469,828.33,Excelente,50.95,0,0.2549,0.2207,0.2429,0.8371,0.0,0.3014,0.6,0.9886,0.5,0.1911,0.2251,0.2817,0.2724
702,68,2829.55,10333.52,356.0,24,755.58,Dependiente,0,86,0,0.267,0.1522,2073.97,Bajo,23.2,0,0.9804,0.2824,0.3473,0.0947,0.4286,0.4372,0.0,0.4716,0.0,0.2128,0.0588,0.4393,0.1678
703,45,2865.17,4957.62,494.0,48,423.57,Dependiente,0,51,1,0.1478,0.036,2441.6,Bajo,5.05,0,0.5294,0.2887,0.0899,0.3508,1.0,0.1361,0.0,0.2727,0.25,0.1006,0.0099,0.4859,0.0994
704,20,2753.99,11846.56,579.0,6,472.29,Dependiente,1,94,1,0.1715,0.7169,1931.7,Bajo,57.78,0,0.0392,0.2689,0.4198,0.5086,0.0,0.1803,0.2,0.517,0.25,0.1229,0.2967,0.4213,0.2981
705,53,3528.57,8634.12,531.0,24,585.44,Independiente,3,179,0,0.1659,0.102,1893.13,Bajo,0.53,0,0.6863,0.4072,0.266,0.4195,0.4286,0.2829,0.6,1.0,0.0,0.1176,0.0377,0.4165,0.0824
706,43,2156.57,10261.01,697.0,36,483.81,Dependiente,1,46,0,0.2243,0.1322,1322.76,Bueno,4.36,1,0.4902,0.1622,0.3439,0.7276,0.7143,0.1907,0.2,0.2443,0.0,0.1726,0.0504,0.3442,0.0968
707,68,3377.95,3080.2244,459.0,18,479.04,Dependiente,2,72,2,0.1418,0.0507,2198.91,Bajo,14.68,0,0.9804,0.3803,0.0,0.2858,0.2857,0.1864,0.4,0.392,0.5,0.0949,0.0161,0.4552,0.1357
708,61,2900.2,7517.49,386.0,12,738.4,Dependiente,0,98,0,0.2546,0.216,2161.8,Bajo,25.67,0,0.8431,0.295,0.2125,0.1503,0.1429,0.4216,0.0,0.5398,0.0,0.2011,0.0857,0.4505,0.1771
709,37,1247.7975999999999,7940.68,635.0,12,785.0,Dependiente,4,119,2,0.6291,0.5303,-937.2,Medio,93.95,1,0.3725,0.0,0.2328,0.6125,0.1429,0.4638,0.8,0.6591,0.5,0.5538,0.2181,0.0582,0.4344
710,53,1854.84,5762.23,414.0,36,1215.21,Dependiente,0,94,0,0.6552,0.0863,639.63,Bajo,54.3,0,0.6863,0.1084,0.1284,0.2023,0.7143,0.8539,0.0,0.517,0.0,0.5783,0.0311,0.2578,0.285
711,69,4750.38,7513.88,573.0,36,623.92,Dependiente,0,163,1,0.1313,0.0439,4126.46,Bajo,-0.99,0,1.0,0.6253,0.2123,0.4974,0.7143,0.3178,0.0,0.9091,0.25,0.085,0.0132,0.6992,0.0767
712,54,3089.4,10002.32,830.0,12,711.65,Dependiente,0,177,2,0.2304,0.2698,2377.75,Excelente,24.47,0,0.7059,0.3288,0.3315,0.9744,0.1429,0.3973,0.0,0.9886,0.5,0.1783,0.1084,0.4778,0.1726
713,48,1378.45,11857.63,494.0,12,501.24,Dependiente,1,86,2,0.3636,0.7168,527.21,Bajo,88.51,1,0.5882,0.0233,0.4203,0.3508,0.1429,0.2065,0.2,0.4716,0.5,0.3038,0.2966,0.2435,0.4139
714,48,2072.91,7384.02,310.0,6,401.64,Independiente,5,55,1,0.1938,0.5937,-78.73,Bajo,61.56,1,0.5882,0.1473,0.2061,0.0093,0.0,0.1162,1.0,0.2955,0.25,0.1439,0.2448,0.1668,0.3123
715,53,3374.54,7812.27,612.0,12,621.87,Dependiente,1,36,0,0.1843,0.1929,2402.67,Medio,8.78,0,0.6863,0.3797,0.2266,0.5698,0.1429,0.3159,0.2,0.1875,0.0,0.1349,0.076,0.481,0.1135
716,31,2037.05,7577.66,572.0,6,632.57,Dependiente,1,52,0,0.3105,0.62,1054.48,Bajo,56.9,1,0.2549,0.1409,0.2154,0.4956,0.0,0.3256,0.2,0.2784,0.0,0.2538,0.2559,0.3103,0.2948
717,64,5109.45,7749.22,338.0,18,1376.2727999999997,Informal,2,119,3,0.2694,0.0843,3033.18,Bajo,42.18,1,0.902,0.6894,0.2236,0.0612,0.2857,1.0,0.4,0.6591,0.75,0.2151,0.0302,0.5608,0.2393
718,38,3241.77,5031.43,346.0,12,807.09,Dependiente,5,127,0,0.249,0.1293,684.68,Bajo,19.29,1,0.3922,0.356,0.0934,0.0761,0.1429,0.4839,1.0,0.7045,0.0,0.1959,0.0492,0.2635,0.1531
719,39,4164.57,11299.03,437.0,12,339.81,Dependiente,1,149,2,0.0816,0.2261,3474.76,Bajo,22.28,0,0.4118,0.5207,0.3936,0.245,0.1429,0.0601,0.2,0.8295,0.5,0.0382,0.09,0.6167,0.1643
720,31,1521.23,8390.3,330.0,24,273.49240000000003,Independiente,3,85,0,0.1798,0.2298,197.74,Bajo,21.75,1,0.2549,0.0488,0.2543,0.0464,0.4286,0.0,0.6,0.4659,0.0,0.1307,0.0915,0.2018,0.1624
721,50,2339.51,8763.53,360.0,36,816.71,Independiente,2,160,1,0.3491,0.1041,822.8,Bajo,34.17,0,0.6275,0.1949,0.2722,0.1021,0.7143,0.4926,0.4,0.892,0.25,0.2901,0.0386,0.281,0.2091
722,38,3892.47,14011.39,401.0,12,637.34,Dependiente,2,17,0,0.1637,0.3,2555.13,Bajo,24.05,0,0.3922,0.4721,0.5235,0.1782,0.1429,0.3299,0.4,0.0795,0.0,0.1155,0.1211,0.5003,0.171
723,30,1581.31,9261.11,801.0,12,478.43,Informal,0,36,1,0.3026,0.4881,1102.88,Excelente,44.67,0,0.2353,0.0595,0.296,0.9206,0.1429,0.1858,0.0,0.1875,0.25,0.2463,0.2003,0.3164,0.2487
724,26,4804.79,9093.22,481.0,6,457.58,Informal,4,14,0,0.0952,0.3154,2947.21,Bajo,15.28,1,0.1569,0.635,0.2879,0.3267,0.0,0.1669,0.8,0.0625,0.0,0.051,0.1276,0.5499,0.138
725,37,3815.75,9897.13,596.0,12,571.23,Informal,0,117,2,0.1497,0.2161,3244.52,Medio,22.47,0,0.3725,0.4584,0.3264,0.5401,0.1429,0.27,0.0,0.6477,0.5,0.1024,0.0858,0.5875,0.1651
726,69,3383.29,6497.98,414.0,12,602.54,Dependiente,0,137,0,0.1781,0.1601,2780.75,Bajo,11.77,0,1.0,0.3812,0.1637,0.2023,0.1429,0.2984,0.0,0.7614,0.0,0.1291,0.0622,0.5288,0.1248
727,58,2097.79,7065.5,727.0,12,448.52,Dependiente,0,49,0,0.2138,0.2807,1649.27,Bueno,13.94,0,0.7843,0.1517,0.1908,0.7833,0.1429,0.1587,0.0,0.2614,0.0,0.1627,0.113,0.3856,0.1329
728,57,2865.49,16101.48,580.0,48,1376.2727999999997,Informal,0,40,0,0.4803,0.1171,1489.22,Medio,33.53,1,0.7647,0.2888,0.6235,0.5104,1.0,1.0,0.0,0.2102,0.0,0.4137,0.0441,0.3653,0.2067
729,31,3094.45,6016.52,579.0,24,584.32,Independiente,1,118,0,0.1888,0.081,2160.13,Bajo,0.23,0,0.2549,0.3297,0.1406,0.5086,0.4286,0.2819,0.2,0.6534,0.0,0.1392,0.0289,0.4503,0.0813
730,31,6034.28,11409.59,598.0,18,545.8,Dependiente,1,147,0,0.0904,0.105,5138.48,Medio,-8.93,0,0.2549,0.8545,0.3989,0.5438,0.2857,0.2469,0.2,0.8182,0.0,0.0465,0.039,0.8273,0.0468
731,57,3628.7,9063.35,678.0,18,685.1,Informal,4,171,1,0.1888,0.1388,1543.6,Bueno,8.01,1,0.7647,0.425,0.2865,0.6923,0.2857,0.3732,0.8,0.9545,0.25,0.1392,0.0532,0.3722,0.1106
732,27,1401.52,12789.94,305.0,12,503.3,Independiente,1,63,2,0.3591,0.7605,548.22,Bajo,99.5,1,0.1765,0.0274,0.465,0.0,0.1429,0.2084,0.2,0.3409,0.5,0.2995,0.315,0.2462,0.4553
733,29,3504.58,8499.43,729.0,24,696.78,Independiente,0,67,0,0.1988,0.1011,2807.8,Bueno,-2.31,1,0.2157,0.4029,0.2595,0.787,0.4286,0.3838,0.0,0.3636,0.0,0.1486,0.0373,0.5322,0.0717
734,22,1991.0,11638.96,431.0,24,319.91,Dependiente,3,39,2,0.1607,0.2436,621.09,Bajo,33.67,0,0.0784,0.1327,0.4098,0.2339,0.4286,0.0421,0.6,0.2045,0.5,0.1127,0.0973,0.2554,0.2073
735,18,2017.59,6222.31,529.0,12,667.79,Dependiente,1,58,1,0.331,0.257,999.8,Bajo,39.53,1,0.0,0.1374,0.1505,0.4158,0.1429,0.3575,0.2,0.3125,0.25,0.2731,0.103,0.3034,0.2293
736,20,3343.81,7009.46,532.0,18,517.5,Dependiente,1,134,0,0.1548,0.1165,2476.31,Bajo,1.29,0,0.0392,0.3742,0.1882,0.4213,0.2857,0.2213,0.2,0.7443,0.0,0.1072,0.0438,0.4903,0.0853
737,26,3657.23,12184.07,813.0,6,1124.91,Dependiente,1,77,2,0.3076,0.5553,2182.32,Excelente,57.38,0,0.1569,0.4301,0.436,0.9429,0.0,0.7721,0.2,0.4205,0.5,0.251,0.2286,0.4531,0.2966
738,67,1972.48,8309.34,364.0,24,1178.68,Informal,0,77,2,0.5976,0.1755,793.8,Bajo,73.96,1,0.9608,0.1294,0.2504,0.1095,0.4286,0.8208,0.0,0.4205,0.5,0.5241,0.0687,0.2773,0.3591
739,43,5385.94,13220.97,584.0,24,486.12,Independiente,1,133,3,0.0903,0.1023,4549.82,Medio,15.64,0,0.4902,0.7388,0.4856,0.5178,0.4286,0.1928,0.2,0.7386,0.75,0.0464,0.0378,0.7528,0.1393
740,18,1478.07,14456.66,317.0,36,735.57,Dependiente,3,3,0,0.4977,0.2717,-307.5,Bajo,58.78,1,0.0,0.0411,0.5448,0.0223,0.7143,0.419,0.6,0.0,0.0,0.43,0.1092,0.1379,0.3019
741,30,3492.04,9383.8,814.0,48,511.7,Independiente,3,162,1,0.1465,0.056,1930.34,Excelente,-8.13,0,0.2353,0.4006,0.3019,0.9447,1.0,0.216,0.6,0.9034,0.25,0.0993,0.0183,0.4212,0.0498
742,38,2396.89,7550.83,685.0,12,811.27,Dependiente,1,46,1,0.3385,0.2625,1235.62,Bueno,34.68,0,0.3922,0.2051,0.2141,0.7053,0.1429,0.4877,0.2,0.2443,0.25,0.2801,0.1053,0.3332,0.2111
743,67,3078.63,21424.16,825.0,24,650.5,Independiente,2,121,2,0.2113,0.29,1728.13,Excelente,25.31,0,0.9608,0.3268,0.8784,0.9651,0.4286,0.3419,0.4,0.6705,0.5,0.1604,0.1169,0.3956,0.1758
744,56,2988.28,3768.89,779.0,12,702.2,Informal,2,90,0,0.235,0.1051,1586.08,Excelente,-0.75,0,0.7451,0.3107,0.033,0.8798,0.1429,0.3888,0.4,0.4943,0.0,0.1827,0.039,0.3776,0.0776
745,19,3059.89,4316.76,520.0,24,814.78,Dependiente,1,150,0,0.2663,0.0588,1895.11,Bajo,8.03,0,0.0196,0.3235,0.0592,0.399,0.4286,0.4908,0.2,0.8352,0.0,0.2121,0.0195,0.4167,0.1107
746,32,3659.81,8022.4,578.0,24,292.98,Dependiente,2,95,0,0.0801,0.0913,2666.83,Bajo,-9.39,0,0.2745,0.4306,0.2367,0.5067,0.4286,0.0177,0.4,0.5227,0.0,0.0368,0.0332,0.5144,0.045
747,52,2097.65,11401.41,736.0,6,324.61,Dependiente,3,104,1,0.1547,0.9059,723.04,Bueno,64.77,1,0.6667,0.1517,0.3985,0.8,0.0,0.0464,0.6,0.5739,0.25,0.1071,0.3763,0.2683,0.3244
748,19,4161.41,13785.01,605.0,24,547.63,Dependiente,2,56,0,0.1316,0.138,2913.78,Medio,-0.93,0,0.0196,0.5201,0.5126,0.5568,0.4286,0.2486,0.4,0.3011,0.0,0.0853,0.0529,0.5457,0.0769
749,56,2917.59,10290.62,733.0,12,365.33,Informal,1,87,0,0.1252,0.2939,2202.26,Bueno,5.26,0,0.7451,0.2981,0.3453,0.7944,0.1429,0.0833,0.2,0.4773,0.0,0.0793,0.1185,0.4556,0.1002
750,30,2969.58,8040.56,381.0,48,448.44,Dependiente,0,34,2,0.151,0.0564,2521.14,Bajo,19.81,0,0.2353,0.3074,0.2375,0.1411,1.0,0.1586,0.0,0.1761,0.5,0.1036,0.0185,0.496,0.155
751,61,2527.26,11164.74,507.0,18,787.75,Dependiente,3,85,3,0.3117,0.2454,689.51,Bajo,53.11,0,0.8431,0.2284,0.3871,0.3749,0.2857,0.4663,0.6,0.4659,0.75,0.2549,0.0981,0.2641,0.2805
752,61,2917.59,5418.58,756.0,36,477.82,Independiente,1,110,2,0.1638,0.0516,2089.77,Excelente,4.43,0,0.8431,0.2981,0.112,0.8371,0.7143,0.1853,0.2,0.608,0.5,0.1156,0.0165,0.4413,0.0971
753,57,1757.2,15430.31,661.0,18,654.26,Informal,0,16,0,0.3723,0.4878,1102.94,Medio,49.55,1,0.7647,0.0909,0.5914,0.6608,0.2857,0.3453,0.0,0.0739,0.0,0.312,0.2002,0.3164,0.2671
754,26,4647.89,8277.51,824.0,6,758.09,Informal,4,79,2,0.1631,0.2968,2489.8,Excelente,21.78,1,0.1569,0.607,0.2489,0.9633,0.0,0.4394,0.8,0.4318,0.5,0.115,0.1197,0.492,0.1625
755,64,6838.46,9474.47,501.0,18,678.93,Informal,1,104,2,0.0993,0.077,5809.53,Bajo,10.32,0,0.902,0.9981,0.3062,0.3638,0.2857,0.3677,0.2,0.5739,0.5,0.0549,0.0272,0.9122,0.1193
756,49,2275.32,9899.06,393.0,18,503.84,Dependiente,0,132,1,0.2214,0.2417,1771.48,Bajo,31.56,0,0.6078,0.1834,0.3265,0.1633,0.2857,0.2089,0.0,0.733,0.25,0.1699,0.0965,0.4011,0.1993
757,67,2410.67,16910.79,470.0,24,1136.03,Dependiente,0,93,0,0.4713,0.2923,1274.64,Bajo,50.16,1,0.9608,0.2076,0.6623,0.3062,0.4286,0.7821,0.0,0.5114,0.0,0.4052,0.1178,0.3382,0.2694
758,31,6028.88,23962.85579999986,828.0,36,488.62,Dependiente,2,140,2,0.081,0.1104,4840.26,Excelente,-2.52,0,0.2549,0.8535,1.0,0.9707,0.7143,0.1951,0.4,0.7784,0.5,0.0377,0.0412,0.7895,0.0709
759,39,3143.37,6506.11,514.0,48,633.9,Independiente,0,57,2,0.2017,0.0431,2509.47,Bajo,18.11,0,0.4118,0.3384,0.1641,0.3879,1.0,0.3268,0.0,0.3068,0.5,0.1513,0.0129,0.4945,0.1486
760,58,3289.27,11356.18,433.0,36,525.2,Independiente,0,29,1,0.1597,0.0959,2764.07,Bajo,13.84,0,0.7843,0.3644,0.3963,0.2376,0.7143,0.2282,0.0,0.1477,0.25,0.1118,0.0351,0.5267,0.1325
761,62,3220.94,7179.42,730.0,6,294.38,Dependiente,1,51,0,0.0914,0.3715,2576.56,Bueno,8.81,0,0.8627,0.3523,0.1963,0.7888,0.0,0.0189,0.2,0.2727,0.0,0.0475,0.1512,0.503,0.1136
762,45,4037.14,6830.6,352.0,12,555.58,Dependiente,2,46,0,0.1376,0.141,2781.56,Bajo,10.19,0,0.5294,0.498,0.1796,0.0872,0.1429,0.2558,0.4,0.2443,0.0,0.091,0.0541,0.5289,0.1188
